totalfakebinary18_presurvey,pol_therm_media,pol_therm_media_w2,massmedia_trust,massmedia_trustw2,affect_merged_leanersw1,affect_merged_leaners,lean_Dem,ideology,polknow,pol_therm_trump,agecat,nonwhite,college,weight
0,31,31,3,2,55,72,0,4,4,95,4,0,0,0.918200701
0,0,0,1,1,NA,98,0,7,1,100,4,0,0,0.878375502
NA,62,47,3,2,-5,5,1,5,2,60,4,0,0,0.918200701
0,50,50,3,3,9,0,1,4,2,70,4,0,0,0.955160472
0,7,18,2,2,81,67,0,6,1,96,4,0,0,0.88878483
0,54,12,2,3,0,0,NA,6,0,64,3,0,0,0.794477911
NA,80,79,4,3,51,72,1,1,5,1,4,0,1,0.844511932
0,95,91,3,3,85,84,1,1,1,0,4,0,0,0.7909966
NA,97,NA,3,NA,97,NA,1,1,3,2,3,0,0,0.820735153
0,89,75,4,3,90,90,1,2,2,0,4,1,0,0.98212987
0,14,40,3,2,-30,-31,1,5,3,69,3,0,0,0.844407653
0,41,NA,2,NA,NA,NA,NA,4,1,2,3,0,0,0.801719343
NA,50,70,3,3,0,0,NA,4,4,0,2,0,0,0.504750068
0,51,28,2,2,-2,0,0,4,1,2,3,1,0,0.897718338
0,52,51,3,3,33,11,1,2,3,16,3,0,1,0.83110927
0,20,43,2,2,33,17,0,4,2,63,3,0,0,0.785173092
NA,4,43,3,3,NA,69,0,1,2,6,2,0,0,0.925217391
0,30,30,2,2,35,20,0,6,5,80,4,0,0,0.901789007
0,16,20,2,2,0,0,NA,5,5,64,4,0,1,0.808827312
0,94,87,4,3,1,0,0,7,4,41,3,0,0,0.471433393
0,32,13,2,2,78,54,0,6,5,97,4,0,1,0.917031489
NA,41,50,3,3,0,0,NA,4,2,61,3,0,0,0.918200701
NA,41,48,2,2,0,0,NA,5,3,70,4,0,1,0.872701801
0,1,0,1,1,99,96,0,4,1,100,3,0,0,0.918200701
0,57,80,3,3,48,61,0,4,2,89,3,0,0,1.06122284
0,84,84,4,3,76,78,1,1,5,16,4,0,1,0.707554671
NA,12,36,2,2,4,91,0,7,1,100,4,0,0,0.914545967
0,15,15,2,2,52,82,0,5,5,86,4,0,0,0.844407653
NA,10,0,2,2,75,85,0,6,5,90,2,0,0,1.02236311
0,84,86,3,4,50,66,1,4,2,4,4,0,0,0.860143167
0,35,29,2,2,51,42,0,5,3,40,4,0,0,0.484874374
1,66,75,3,3,0,0,NA,4,4,0,3,1,1,0.582618779
0,0,1,1,1,68,59,0,7,3,99,3,0,1,0.97219482
0,0,0,2,2,1,-5,0,4,5,60,4,0,1,0.707850111
0,30,33,3,2,53,57,0,6,5,96,4,0,1,0.808827312
1,60,59,3,3,9,20,1,3,4,20,4,0,1,0.901523174
0,79,81,4,3,95,74,1,2,5,0,4,0,1,0.92329157
NA,5,NA,1,NA,87,NA,0,4,3,100,4,0,0,0.901789007
0,20,NA,2,NA,76,NA,0,7,3,98,4,0,0,1.029756452
